Admission grade,Age at enrollment,Application order,Course,Curricular units 1st sem (approved),Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Daytime/evening attendance,Debtor,Displaced,Educational special needs,Father's occupation,Father's qualification,GDP,Gender,Inflation rate,International,Marital status,Mother's occupation,Mother's qualification,Nationality,Previous qualification,Previous qualification (grade),Scholarship holder,Target,Tuition fees up to date,Unemployment rate,dataset_marker
126.3,20,1,7,6,3,7,12,14.142857142857142,0,6,1,6,10,14.125,0,1,0,0,0,9,1,1.79,1,0.5,0,1,10,1,1,14,170.0,1,Enrolled,1,12.4,df1
130.5,22,1,9,0,0,5,5,0.0,0,3,0,5,9,13.333333333333334,2,1,0,0,0,9,14,-0.92,1,0.3,0,1,10,22,1,1,110.0,0,Enrolled,1,16.2,df1
140.0,22,2,9,3,0,5,7,12.333333333333334,0,3,0,5,9,10.571428571428571,0,1,0,1,0,8,28,1.74,1,1.4,0,1,5,23,1,1,116.0,1,Enrolled,1,10.8,df1
114.5,19,1,7,5,0,5,7,10.2,0,3,0,5,8,12.0,0,1,0,0,0,6,14,1.74,1,1.4,0,1,6,23,1,1,120.0,0,Enrolled,1,10.8,df1
108.0,19,2,15,5,0,6,9,12.6,0,8,6,10,16,11.0,1,1,0,0,0,5,1,3.51,1,1.4,0,1,3,3,1,1,141.0,0,Enrolled,1,8.9,df1
108.0,18,1,7,4,0,5,9,12.25,0,3,0,5,11,11.666666666666666,0,1,0,0,0,4,1,0.79,1,-0.3,0,1,3,3,1,1,138.0,0,Enrolled,1,13.9,df1
131.8,18,2,11,3,0,6,12,10.666666666666666,0,4,0,6,9,12.0,0,1,0,0,0,8,14,-4.06,1,2.8,0,1,6,13,1,1,140.0,1,Enrolled,1,15.5,df1
140.8,19,1,11,4,0,6,10,12.75,0,2,0,6,12,13.0,0,1,0,0,0,5,14,1.74,1,1.4,0,1,10,23,1,1,133.1,0,Enrolled,1,10.8,df1
110.0,24,1,8,6,0,6,11,11.333333333333334,0,3,0,6,12,11.333333333333334,0,1,0,0,0,29,1,-0.92,1,0.3,0,1,29,13,1,1,133.1,0,Enrolled,1,16.2,df1
115.0,25,1,6,0,0,6,6,0.0,0,0,0,6,6,0.0,0,1,1,1,0,9,14,3.51,1,1.4,0,1,10,23,1,9,140.0,0,Enrolled,0,8.9,df1
131.8,37,1,17,4,0,5,7,10.75,0,3,0,5,7,11.333333333333334,0,0,0,0,0,10,27,0.32,1,2.6,0,2,10,22,1,1,133.1,0,Enrolled,1,7.6,df1
138.0,19,1,7,5,0,5,8,12.0,0,2,0,5,12,10.5,0,1,0,0,0,8,28,0.79,1,-0.3,0,1,5,1,1,1,120.0,0,Enrolled,1,13.9,df1
135.1,19,1,12,6,0,7,11,12.528571428571428,0,6,0,7,10,12.416666666666666,0,1,0,0,0,6,1,-4.06,1,2.8,0,1,5,1,1,1,125.0,1,Enrolled,1,15.5,df1
121.9,21,2,12,0,0,8,8,0.0,8,0,0,8,8,0.0,8,1,0,0,0,11,1,-3.12,1,-0.8,0,1,10,13,1,1,170.0,1,Enrolled,1,9.4,df1
132.5,20,1,4,3,1,7,13,10.666666666666666,0,2,0,6,14,11.5,0,1,0,0,0,3,3,-4.06,1,2.8,0,1,3,5,1,14,131.0,0,Enrolled,1,15.5,df1
140.2,19,2,14,6,0,6,10,13.125,0,6,0,6,9,12.714285714285714,0,1,0,0,0,5,14,2.02,1,0.6,0,1,5,1,1,1,120.0,1,Enrolled,1,11.1,df1
135.6,42,1,16,5,0,6,9,12.4,0,5,0,6,10,11.8,0,1,0,1,0,5,27,0.32,1,2.6,0,1,10,22,1,1,140.0,0,Enrolled,1,7.6,df1
111.4,21,1,6,5,0,6,10,14.0,0,4,0,6,11,14.8,0,1,0,0,0,6,14,2.02,1,0.6,0,1,4,1,1,1,150.0,0,Enrolled,0,11.1,df1
110.0,19,1,5,5,0,6,7,11.4,0,3,0,6,10,11.0,3,1,0,1,0,10,1,0.32,1,2.6,0,1,5,1,1,1,121.0,0,Enrolled,1,7.6,df1
116.4,21,1,4,4,0,6,13,11.75,0,4,0,6,15,10.5,0,1,0,0,0,7,28,-4.06,1,2.8,0,1,10,1,1,14,129.0,0,Enrolled,1,15.5,df1
116.1,20,1,5,6,1,6,8,13.428571428571429,1,4,0,6,12,11.5,0,1,0,0,0,5,28,0.79,1,-0.3,0,1,5,13,1,1,133.1,0,Enrolled,1,13.9,df1
126.2,19,1,7,4,2,5,6,11.8,0,2,0,5,7,11.5,0,1,0,0,0,6,27,-4.06,1,2.8,0,1,6,1,1,1,133.1,0,Enrolled,1,15.5,df1
118.7,23,1,7,3,3,7,12,14.0,0,1,1,6,12,14.0,0,1,0,0,0,3,31,1.79,1,0.5,0,1,4,5,1,14,133.1,0,Enrolled,1,12.4,df1
122.5,18,1,5,6,0,6,7,12.333333333333334,0,5,0,6,10,10.8,4,1,0,0,0,8,14,-0.92,1,0.3,0,1,8,13,1,1,140.0,0,Enrolled,1,16.2,df1
141.8,22,1,9,5,0,5,8,10.666666666666666,0,2,0,5,11,11.0,0,1,1,0,0,10,27,-4.06,1,2.8,0,1,10,22,1,1,130.0,1,Enrolled,1,15.5,df1
134.8,19,5,7,5,0,5,9,11.833333333333334,0,5,0,5,9,14.714285714285714,0,1,0,1,0,4,2,1.79,1,0.5,0,1,3,3,1,1,121.0,0,Enrolled,1,12.4,df1
125.3,22,3,5,6,0,6,6,11.666666666666666,0,6,0,6,6,12.166666666666666,0,1,0,1,0,10,27,0.32,1,2.6,0,1,10,22,1,1,118.0,1,Enrolled,1,7.6,df1
108.0,38,1,5,5,1,6,9,16.0,1,4,0,6,11,16.5,0,1,0,0,0,3,2,0.79,1,-0.3,0,1,5,1,1,1,105.0,0,Enrolled,1,13.9,df1
145.0,27,1,12,7,0,7,7,14.085714285714284,0,7,0,7,7,14.085714285714284,0,1,0,1,0,10,27,0.32,1,2.6,0,1,10,1,1,1,140.0,0,Enrolled,1,7.6,df1
134.9,19,1,7,0,0,5,10,0.0,0,1,0,5,7,10.0,0,1,0,1,0,10,27,0.32,1,2.6,0,1,3,2,1,1,133.0,0,Enrolled,1,7.6,df1
160.0,20,1,7,5,0,5,6,15.8,0,5,0,5,8,13.714285714285714,0,1,0,0,0,10,14,2.02,1,0.6,0,1,10,13,1,1,123.0,0,Enrolled,1,11.1,df1
129.7,18,4,7,4,0,5,8,12.5,0,3,0,5,7,14.666666666666666,1,1,0,1,0,5,14,0.32,1,2.6,0,1,10,22,1,1,123.0,0,Enrolled,1,7.6,df1
130.5,19,1,14,4,0,6,17,12.5,0,4,0,6,8,13.25,0,1,0,0,0,9,14,0.79,1,-0.3,0,1,5,3,1,1,118.0,0,Enrolled,1,13.9,df1
131.8,24,1,7,1,0,5,12,10.0,0,1,0,5,11,11.0,0,1,1,0,0,8,14,3.51,1,1.4,0,1,10,13,1,1,141.0,0,Enrolled,1,8.9,df1
110.0,22,1,7,0,0,5,9,0.0,0,2,0,5,6,11.666666666666666,0,1,0,1,0,6,14,1.74,1,1.4,0,1,5,1,1,14,130.0,0,Enrolled,1,10.8,df1
126.3,19,1,4,4,0,6,9,12.0,2,4,0,6,10,12.5,0,1,0,0,0,10,14,-4.06,1,2.8,0,1,10,13,1,1,145.0,1,Enrolled,1,15.5,df1
103.5,23,1,2,13,13,17,19,12.153846153846152,0,11,10,17,28,11.909090909090908,1,1,1,1,0,5,1,2.02,1,0.6,0,1,8,1,1,1,122.0,0,Enrolled,1,11.1,df1
120.7,29,1,15,6,0,6,8,16.5,0,5,0,6,6,13.8,0,1,0,1,0,7,2,2.02,1,0.6,0,1,5,3,1,1,131.0,0,Enrolled,0,11.1,df1
139.0,20,1,4,6,0,6,11,11.285714285714286,0,5,0,6,12,11.77777777777778,0,1,0,0,0,6,1,-0.92,1,0.3,0,1,5,1,1,1,134.0,0,Enrolled,1,16.2,df1
133.0,22,3,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,1,6,29,1.74,1,1.4,0,1,3,3,1,1,120.0,0,Enrolled,1,10.8,df1
110.0,20,2,14,5,0,6,10,14.0,0,6,0,6,10,12.0,0,1,0,1,0,6,1,2.02,1,0.6,0,1,4,3,1,1,124.0,0,Enrolled,1,11.1,df1
110.0,24,1,8,4,0,5,13,13.75,1,3,0,5,9,12.0,0,1,0,1,0,6,14,-3.12,1,-0.8,0,1,10,13,1,1,140.0,0,Enrolled,1,9.4,df1
129.4,21,1,4,10,7,12,20,11.8,0,9,5,12,15,11.444444444444445,0,1,1,0,0,10,1,3.51,1,1.4,0,1,10,13,1,1,133.1,0,Enrolled,1,8.9,df1
120.7,20,1,7,4,0,5,10,11.5,0,0,0,5,11,0.0,0,1,0,0,0,6,1,0.79,1,-0.3,0,1,5,13,1,1,110.0,0,Enrolled,1,13.9,df1
161.0,22,5,15,5,0,6,10,13.4,0,3,0,6,12,10.666666666666666,0,1,0,1,0,3,3,-3.12,1,-0.8,0,1,6,22,1,1,133.1,0,Enrolled,1,9.4,df1
108.0,18,1,9,2,0,5,11,13.5,0,3,0,5,11,12.333333333333334,0,1,0,0,0,6,14,3.51,1,1.4,0,1,10,23,1,1,127.0,0,Enrolled,1,8.9,df1
110.0,22,1,15,3,0,6,17,11.333333333333334,3,3,0,6,14,12.333333333333334,0,1,0,1,0,8,28,-4.06,1,2.8,0,1,10,13,1,1,125.0,0,Enrolled,1,15.5,df1
140.0,19,2,15,5,0,6,9,11.4,0,5,0,6,13,12.4,0,1,0,1,0,5,1,3.51,1,1.4,0,1,5,3,1,1,122.0,0,Enrolled,1,8.9,df1
111.7,43,2,17,3,0,5,11,10.666666666666666,0,4,1,5,10,12.5,0,0,0,0,0,10,27,-3.12,0,-0.8,0,2,10,22,1,1,170.0,0,Enrolled,1,9.4,df1
97.0,24,1,4,7,0,7,7,13.571428571428571,0,5,0,6,9,13.4,0,1,0,0,0,29,1,3.51,1,1.4,1,1,30,1,3,1,136.0,0,Enrolled,1,8.9,df1
110.0,18,4,7,4,0,5,7,12.0,0,3,0,5,10,13.0,3,1,0,1,0,8,27,0.32,1,2.6,0,1,6,23,1,1,138.0,0,Enrolled,1,7.6,df1
110.0,21,1,6,0,0,5,11,0.0,2,3,0,5,11,11.666666666666666,1,1,0,0,0,8,27,-3.12,1,-0.8,0,2,10,22,1,1,131.0,0,Enrolled,1,9.4,df1
147.5,39,1,3,5,0,6,8,11.4,0,3,1,6,12,11.0,1,0,0,0,0,7,27,0.32,1,2.6,0,1,7,22,1,1,118.0,0,Enrolled,1,7.6,df1
139.6,34,1,12,6,0,7,15,11.333333333333334,0,4,0,7,16,12.6,0,1,0,0,0,10,27,-0.92,1,0.3,0,1,10,22,1,1,130.0,0,Enrolled,1,16.2,df1
103.5,18,1,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,0,0,10,28,-3.12,1,-0.8,0,1,6,1,1,1,156.0,0,Enrolled,0,9.4,df1
115.0,21,1,2,12,6,12,12,15.083333333333334,0,11,4,11,15,13.083333333333334,0,1,0,0,0,10,1,3.51,1,1.4,1,1,3,1,12,1,131.0,0,Enrolled,1,8.9,df1
97.0,27,1,9,3,0,5,12,10.0,0,1,0,5,12,13.0,0,1,0,0,0,9,27,0.32,1,2.6,0,1,5,13,1,1,127.0,0,Enrolled,1,7.6,df1
100.0,18,1,7,4,0,5,7,10.0,0,1,0,5,8,16.0,0,1,0,1,0,10,27,1.74,1,1.4,0,1,10,22,1,1,110.0,0,Enrolled,1,10.8,df1
138.3,20,1,4,5,0,6,11,13.833333333333334,0,6,0,6,13,12.3,0,1,0,0,0,2,27,-4.06,1,2.8,0,1,10,22,1,14,120.0,1,Enrolled,1,15.5,df1
126.2,19,1,8,5,1,6,13,11.6,0,2,1,6,12,11.0,0,1,0,1,0,6,1,0.79,1,-0.3,0,1,3,5,1,14,107.0,0,Enrolled,1,13.9,df1
97.0,23,1,11,6,0,6,8,12.666666666666666,0,5,0,6,10,12.2,0,1,0,1,0,10,28,0.32,1,2.6,0,1,10,13,1,1,133.1,0,Enrolled,1,7.6,df1
132.5,22,1,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,0,3,3,0.32,1,2.6,0,1,3,3,1,1,130.0,0,Enrolled,1,7.6,df1
120.7,20,6,9,3,0,5,7,12.666666666666666,1,2,0,5,12,12.5,0,1,0,1,0,7,28,-3.12,1,-0.8,0,1,6,13,1,1,128.0,0,Enrolled,1,9.4,df1
114.6,20,2,15,3,0,6,11,13.666666666666666,0,4,0,6,13,10.25,0,1,0,1,0,5,1,-3.12,1,-0.8,0,1,5,1,1,1,123.0,0,Enrolled,1,9.4,df1
126.8,19,2,9,5,0,5,9,10.8,0,2,0,5,13,13.5,0,1,0,0,0,7,1,3.51,1,1.4,0,1,10,1,1,1,139.0,0,Enrolled,1,8.9,df1
140.0,18,1,12,4,0,7,15,11.575,0,5,0,7,10,12.419999999999998,0,1,0,1,0,5,2,1.79,0,0.5,1,1,14,3,20,1,121.0,0,Enrolled,1,12.4,df1
97.0,20,4,7,4,0,5,10,14.25,0,1,0,5,14,10.0,0,1,0,1,0,36,1,3.51,1,1.4,1,1,29,1,15,1,170.0,0,Enrolled,1,8.9,df1
131.6,18,1,8,6,0,6,7,12.833333333333334,1,6,0,6,8,13.0,0,1,0,1,0,7,14,3.51,0,1.4,0,1,3,2,1,1,160.0,1,Enrolled,1,8.9,df1
150.0,19,2,16,5,0,6,8,11.4,1,4,0,6,7,10.75,0,1,0,1,0,6,1,-1.7,0,3.7,0,1,2,3,1,1,120.0,0,Enrolled,1,12.7,df1
107.4,19,1,8,5,0,5,10,14.857142857142858,2,5,0,5,7,15.142857142857142,0,1,0,0,0,3,4,-3.12,0,-0.8,1,1,4,3,14,1,120.0,0,Enrolled,1,9.4,df1
110.0,19,1,4,3,0,6,18,11.666666666666666,0,4,0,6,14,11.5,0,1,0,0,0,4,28,-4.06,0,2.8,0,1,7,23,1,14,145.0,0,Enrolled,1,15.5,df1
119.7,20,3,5,6,0,6,6,12.5,0,6,0,6,6,14.333333333333334,0,1,0,1,0,5,3,-1.7,0,3.7,0,1,5,3,1,1,116.0,1,Enrolled,1,12.7,df1
108.0,18,4,7,3,0,5,11,10.666666666666666,0,3,0,5,9,11.333333333333334,0,1,1,1,0,39,28,3.51,1,1.4,0,1,32,13,1,1,128.0,0,Enrolled,1,8.9,df1
110.0,18,1,7,4,0,5,9,10.5,0,2,0,5,11,10.5,3,1,0,1,0,9,27,0.32,1,2.6,0,1,6,13,1,1,143.0,0,Enrolled,1,7.6,df1
121.8,18,2,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,0,3,3,1.79,0,0.5,0,1,3,3,1,1,101.0,0,Enrolled,1,12.4,df1
122.9,19,1,9,5,0,5,11,11.5,0,2,0,5,9,10.666666666666666,0,1,0,0,0,36,14,0.79,0,-0.3,0,1,20,23,1,1,143.0,0,Enrolled,1,13.9,df1
129.8,20,1,10,1,0,6,11,12.0,0,0,0,5,10,0.0,0,1,0,0,0,5,1,-3.12,0,-0.8,0,1,3,23,1,1,133.1,0,Enrolled,1,9.4,df1
139.6,26,1,3,3,0,6,14,10.666666666666666,1,5,0,6,9,11.2,0,0,0,0,0,9,1,-4.06,0,2.8,0,1,10,13,1,1,121.0,0,Enrolled,1,15.5,df1
123.0,41,1,9,5,0,5,6,11.6,0,5,0,5,8,12.2,0,1,1,0,0,8,27,0.32,0,2.6,0,1,10,22,1,9,143.0,0,Enrolled,1,7.6,df1
121.3,26,1,17,4,0,5,10,12.0,0,4,0,5,9,11.25,0,0,0,0,0,9,27,-1.7,0,3.7,0,1,10,13,1,1,115.0,0,Enrolled,1,12.7,df1
131.6,21,2,9,3,0,5,8,12.0,1,3,0,5,9,12.666666666666666,0,1,0,1,0,6,27,-3.12,0,-0.8,0,1,6,1,1,1,123.0,0,Enrolled,1,9.4,df1
141.8,24,4,9,2,0,5,11,10.5,0,1,0,5,14,11.0,0,1,0,1,0,7,14,-1.7,0,3.7,0,1,5,1,1,1,122.0,0,Enrolled,1,12.7,df1
135.6,18,4,16,5,0,6,7,12.2,0,5,0,6,7,12.2,0,1,0,1,0,10,1,1.74,0,1.4,0,1,6,13,1,1,121.0,0,Enrolled,1,10.8,df1
110.0,22,1,16,6,0,7,10,11.5,0,6,0,7,8,13.166666666666666,0,1,1,1,0,10,27,2.02,0,0.6,0,1,10,13,1,1,142.0,0,Enrolled,0,11.1,df1
130.0,23,1,9,2,0,5,7,10.0,1,1,0,5,9,12.0,0,1,0,1,0,8,14,-3.12,0,-0.8,0,1,8,13,1,1,168.0,0,Enrolled,1,9.4,df1
130.5,21,3,6,2,0,5,14,13.0,2,4,0,5,8,12.0,1,1,0,1,0,6,27,-3.12,0,-0.8,0,1,6,13,1,1,128.0,0,Enrolled,1,9.4,df1
100.0,18,3,16,5,0,6,8,13.4,0,5,0,6,7,12.0,0,1,0,1,0,8,28,0.32,0,2.6,0,1,8,23,1,1,148.0,0,Enrolled,1,7.6,df1
123.7,22,1,11,4,0,6,14,12.25,0,3,0,6,11,11.333333333333334,0,1,0,1,0,10,1,0.32,0,2.6,0,1,5,1,1,1,132.0,0,Enrolled,1,7.6,df1
137.8,29,1,5,9,9,10,15,11.555555555555555,0,10,7,11,17,11.9,0,1,0,0,0,3,2,-3.12,0,-0.8,0,1,3,3,1,1,122.0,0,Enrolled,1,9.4,df1
124.0,19,1,12,7,0,7,7,12.2,0,7,0,7,7,12.2,0,1,0,0,0,5,14,0.32,1,2.6,0,1,5,1,1,1,112.0,0,Enrolled,1,7.6,df1
130.5,18,1,9,4,0,5,10,10.8,0,4,0,5,10,11.75,0,1,0,0,0,8,14,-4.06,1,2.8,0,1,8,1,1,1,145.0,1,Enrolled,1,15.5,df1
100.0,28,9,17,4,0,5,7,12.75,0,5,0,5,7,14.333333333333334,0,0,0,0,0,6,28,1.74,1,1.4,0,1,10,23,1,1,133.1,0,Enrolled,1,10.8,df1
115.2,20,1,14,6,0,6,10,12.714285714285714,0,4,0,6,8,13.0,0,1,0,1,0,6,14,1.79,1,0.5,0,1,8,1,1,1,140.0,0,Enrolled,1,12.4,df1
110.0,26,1,5,7,5,7,8,13.285714285714286,0,7,3,8,11,12.142857142857142,0,1,0,0,0,8,29,1.79,1,0.5,0,1,4,3,1,1,140.0,0,Enrolled,1,12.4,df1
135.1,20,1,12,5,0,7,10,13.976666666666668,0,8,0,8,9,13.22222222222222,0,1,0,0,0,9,1,1.79,1,0.5,0,1,3,3,1,1,123.0,0,Enrolled,1,12.4,df1
150.0,20,2,16,6,0,6,6,12.0,0,6,0,6,7,12.5,0,1,0,1,0,10,14,0.32,1,2.6,0,1,10,1,1,1,114.0,1,Enrolled,1,7.6,df1
133.3,43,1,12,7,0,8,8,11.635714285714286,0,7,0,8,8,11.635714285714286,0,1,0,1,0,8,28,1.74,1,1.4,0,2,10,22,1,12,122.0,0,Enrolled,1,10.8,df1
129.5,18,5,7,4,0,5,9,12.5,0,5,0,5,11,11.285714285714286,0,1,1,1,0,6,14,1.79,1,0.5,0,1,6,13,1,1,127.0,0,Enrolled,1,12.4,df1
107.0,40,1,17,3,0,5,9,11.0,0,4,0,5,8,12.5,1,0,0,0,0,13,24,0.32,1,2.6,0,2,13,19,1,1,150.0,0,Enrolled,1,7.6,df1
111.3,27,1,11,6,0,6,6,10.666666666666666,0,4,0,6,8,11.25,0,1,0,0,0,2,27,1.74,1,1.4,0,1,2,22,1,1,143.0,0,Enrolled,1,10.8,df1
121.5,26,1,4,0,0,6,6,0.0,0,0,0,6,7,0.0,0,1,1,1,0,25,1,3.51,1,1.4,0,1,19,23,1,14,123.0,0,Enrolled,1,8.9,df1
135.7,20,2,7,5,0,5,7,10.8,0,3,0,5,9,12.0,0,1,0,1,0,43,28,3.51,1,1.4,0,1,20,1,1,1,133.1,0,Enrolled,1,8.9,df1
128.9,20,1,9,5,0,5,7,11.0,0,3,0,5,7,10.0,0,1,0,0,0,9,28,3.51,1,1.4,0,1,10,13,1,1,150.0,0,Enrolled,1,8.9,df1
122.3,20,1,7,0,0,5,7,0.0,0,0,0,5,5,0.0,0,1,1,1,0,10,14,-3.12,1,-0.8,0,1,10,22,1,1,138.0,0,Enrolled,1,9.4,df1
128.4,30,1,12,4,0,7,12,14.4,0,6,0,7,9,13.5,0,1,1,0,0,21,2,1.79,1,0.5,0,1,22,1,1,1,120.0,0,Enrolled,1,12.4,df1
142.3,21,1,14,4,0,6,11,12.25,0,4,0,6,9,13.4,0,1,1,0,0,36,14,2.02,1,0.6,0,1,29,13,1,1,145.0,0,Enrolled,0,11.1,df1
124.0,19,1,14,0,0,5,10,0.0,0,0,0,5,5,0.0,0,1,0,0,0,5,1,0.32,1,2.6,0,1,5,1,1,1,140.0,0,Enrolled,1,7.6,df1
131.8,25,1,13,7,0,7,14,11.95,0,7,0,8,15,12.042857142857144,0,1,0,0,0,3,3,-1.7,0,3.7,0,4,10,13,1,1,170.0,0,Enrolled,1,12.7,df1
134.2,26,2,13,0,0,7,7,0.0,0,0,0,8,8,0.0,6,1,0,0,0,10,28,1.74,0,1.4,0,2,10,13,1,1,164.0,1,Enrolled,1,10.8,df1
130.5,19,2,9,3,0,5,10,11.0,0,4,0,5,9,11.75,0,1,0,1,0,3,3,-1.7,0,3.7,0,1,3,2,1,1,148.0,0,Enrolled,1,12.7,df1
160.0,21,1,6,4,0,6,11,11.75,0,3,0,6,12,13.666666666666666,0,1,0,0,0,6,3,0.79,0,-0.3,0,1,3,3,1,1,118.0,0,Enrolled,1,13.9,df1
137.7,21,1,8,1,0,5,12,11.0,0,2,0,5,9,10.5,0,1,0,1,0,3,5,-1.7,0,3.7,0,1,3,4,1,1,140.0,0,Enrolled,1,12.7,df1
135.0,26,1,6,6,0,6,8,15.428571428571429,0,5,0,6,7,14.5,0,1,0,0,0,10,1,2.02,0,0.6,0,1,3,4,1,1,122.0,0,Enrolled,0,11.1,df1
132.7,20,1,12,7,0,8,8,14.014285714285714,0,7,0,8,8,14.014285714285714,0,1,0,1,0,5,14,-1.7,0,3.7,0,1,5,13,1,1,147.0,0,Enrolled,1,12.7,df1
125.8,18,2,10,2,0,6,15,10.333333333333334,3,3,0,6,13,13.333333333333334,0,1,0,1,1,11,14,-1.7,0,3.7,0,1,5,1,1,1,110.0,0,Enrolled,1,12.7,df1
166.9,20,1,12,7,0,7,7,12.401428571428571,0,6,0,8,10,11.808333333333332,0,1,1,1,0,35,28,2.02,1,0.6,0,1,29,22,1,1,133.1,0,Enrolled,1,11.1,df1
130.5,23,1,4,0,0,6,6,0.0,0,0,0,6,8,0.0,0,1,0,0,0,6,14,-4.06,1,2.8,0,1,4,23,1,14,133.1,0,Enrolled,1,15.5,df1
140.2,20,1,4,4,0,6,12,10.8,0,4,0,6,13,12.0,0,1,0,0,0,7,3,1.79,1,0.5,0,1,10,2,1,14,135.0,0,Enrolled,1,12.4,df1
107.0,45,1,3,8,5,9,13,11.0,0,6,3,7,10,10.833333333333334,0,0,0,0,0,6,27,-1.7,0,3.7,0,1,10,22,1,1,131.0,0,Enrolled,1,12.7,df1
141.4,26,1,3,3,0,6,10,12.333333333333334,0,3,0,6,14,11.666666666666666,0,0,0,1,0,6,27,0.32,0,2.6,0,1,6,22,1,12,120.0,1,Enrolled,1,7.6,df1
110.0,25,1,17,3,0,5,8,11.0,0,3,0,5,8,11.25,0,0,0,0,0,10,27,1.74,0,1.4,0,1,10,22,1,1,139.0,0,Enrolled,1,10.8,df1
122.3,19,1,12,5,0,8,10,12.858,3,5,0,8,10,12.858,3,1,0,1,0,9,27,-3.12,1,-0.8,0,1,4,13,1,1,120.0,0,Enrolled,1,9.4,df1
107.5,19,4,12,5,0,7,9,14.06,0,7,0,7,9,11.242857142857142,0,1,0,0,0,11,1,1.79,0,0.5,0,1,6,10,1,1,130.0,1,Enrolled,1,12.4,df1
110.0,18,2,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,0,10,27,-1.7,0,3.7,0,1,10,13,1,1,124.0,1,Enrolled,1,12.7,df1
121.0,19,2,14,4,0,5,5,13.75,0,5,0,6,9,12.6,0,1,0,1,0,6,3,-1.7,0,3.7,0,1,6,3,1,1,148.0,0,Enrolled,1,12.7,df1
110.7,23,1,15,3,0,6,11,11.333333333333334,0,2,0,6,7,11.0,0,1,0,1,0,6,27,-0.92,0,0.3,0,1,6,13,1,1,118.0,0,Enrolled,1,16.2,df1
97.0,20,1,10,5,0,6,7,13.2,0,6,0,6,6,12.666666666666666,0,1,0,1,0,8,27,1.74,0,1.4,0,1,10,22,1,1,115.0,0,Enrolled,1,10.8,df1
129.8,19,3,14,3,0,5,7,11.333333333333334,0,4,0,5,7,11.0,0,1,0,1,0,8,27,-3.12,1,-0.8,0,1,8,22,1,1,110.0,0,Enrolled,1,9.4,df1
121.7,29,1,17,0,0,5,5,0.0,0,0,0,5,5,0.0,0,0,0,0,0,10,27,0.32,1,2.6,0,4,10,22,1,1,146.0,0,Enrolled,1,7.6,df1
110.0,18,1,14,6,0,6,8,14.625,0,6,0,6,9,14.142857142857142,0,1,0,1,0,8,10,2.02,0,0.6,0,1,6,10,1,1,124.0,0,Enrolled,1,11.1,df1
121.3,19,3,12,4,0,7,12,13.375,0,6,0,7,8,12.116666666666667,0,1,0,1,0,40,14,1.79,0,0.5,0,1,17,1,1,1,133.1,0,Enrolled,1,12.4,df1
100.0,19,1,9,4,0,5,6,11.0,0,4,0,5,9,13.857142857142858,0,1,0,0,0,8,27,1.74,0,1.4,0,1,10,22,1,1,133.0,1,Enrolled,1,10.8,df1
107.0,18,1,15,0,0,6,6,0.0,0,3,0,6,10,11.0,0,1,0,1,0,6,1,-0.92,0,0.3,0,1,6,13,1,1,131.0,0,Enrolled,1,16.2,df1
141.1,19,1,14,6,0,6,7,13.285714285714286,0,5,0,6,9,14.6,0,1,0,1,0,5,1,1.79,0,0.5,0,1,5,1,1,1,133.1,1,Enrolled,1,12.4,df1
134.1,19,5,12,5,0,7,11,11.716666666666669,0,5,0,7,8,13.7,0,1,0,1,0,9,14,0.79,0,-0.3,0,1,5,3,1,1,120.0,0,Enrolled,1,13.9,df1
110.0,18,2,5,6,0,6,6,12.333333333333334,0,6,0,6,6,12.833333333333334,0,1,0,1,0,3,4,0.32,0,2.6,0,1,3,3,1,1,141.0,0,Enrolled,1,7.6,df1
163.4,18,3,9,5,0,5,5,12.6,0,4,0,5,5,11.0,0,1,0,1,0,8,1,2.02,0,0.6,0,1,5,1,1,1,120.0,0,Enrolled,1,11.1,df1
107.0,34,1,4,6,1,6,10,14.333333333333334,0,6,0,6,9,12.833333333333334,0,1,1,0,0,3,3,2.02,0,0.6,0,2,3,3,1,1,101.0,0,Enrolled,0,11.1,df1
160.0,22,2,14,3,0,5,8,12.0,0,2,0,5,9,11.0,1,1,0,0,0,10,27,0.32,0,2.6,0,1,10,22,1,1,133.1,0,Enrolled,1,7.6,df1
132.0,50,2,9,3,0,5,12,13.333333333333334,1,5,0,5,8,12.2,0,1,0,0,0,9,27,-3.12,0,-0.8,0,2,10,22,1,1,160.0,0,Enrolled,1,9.4,df1
141.4,25,1,6,3,0,6,13,11.666666666666666,0,2,0,6,14,11.333333333333334,0,1,0,0,0,7,27,2.02,0,0.6,0,1,7,22,1,1,130.0,1,Enrolled,1,11.1,df1
